States,Population_2021,Land_Area,Density,Km2,Latitude,Longitude
Alabama,5039877.00,50645.33,99.51,131171.00,32.806671,-86.79113
Alaska,732673.00,570640.95,1.28,1477953.00,61.370716,-152.404419
Arizona,7276316.00,113594.08,64.06,294207.00,33.729759,-111.431221
Arkansas,3025891.00,52035.48,58.15,134771.00,34.969704,-92.373123
California,39237836.00,155779.22,251.88,403466.00,36.116203,-119.681564
Colorado,5812069.00,103641.89,56.08,268431.00,39.059811,-105.311104
Connecticut,3605597.00,4842.36,744.59,12542.00,41.597782,-72.755371
Delaware,1003384.00,1948.54,514.94,5047.00,39.318523,-75.507141
District of Columbia,670050.00,61.05,10975.43,158.00,38.897438,-77.026817
Florida,21781128.00,53624.76,406.18,138887.00,27.766279,-81.686783
Georgia,10799566.00,57513.49,187.77,148959.00,33.040619,-83.643074
Hawaii,1441553.00,6422.63,224.45,16635.00,21.094318,-157.498337
Idaho,1900923.00,82643.12,23.00,214045.00,44.240459,-114.478828
Illinois,12671469.00,55518.93,228.24,143793.00,40.349457,-88.986137
Indiana,6805985.00,35826.11,189.97,92789.00,39.849426,-86.258278
Iowa,3193079.00,55857.13,57.17,144669.00,42.011539,-93.210526
Kansas,2934582.00,81758.72,35.89,211754.00,38.5266,-96.726486
Kentucky,4509394.00,39486.34,114.20,102269.00,37.66814,-84.670067
Louisiana,4624047.00,43203.90,107.03,111898.00,31.169546,-91.867805
Maine,1372247.00,30842.92,44.49,79883.00,44.693947,-69.381927
Maryland,6165129.00,9707.24,635.11,25142.00,39.063946,-76.802101
Massachusetts,6984723.00,7800.06,895.47,20202.00,42.230171,-71.530106
Michigan,10050811.00,56538.90,177.77,146435.00,43.326618,-84.536095
Minnesota,5707390.00,79626.74,71.68,206232.00,45.694454,-93.900192
Mississippi,2949965.00,46923.27,62.87,121531.00,32.741646,-89.678696
Missouri,6168187.00,68741.52,89.73,178040.00,38.456085,-92.288368
Montana,1104271.00,145545.80,7.59,376962.00,46.921925,-110.454353
Nebraska,1963692.00,76824.17,25.56,198974.00,41.12537,-98.268082
Nevada,3143991.00,109781.18,28.64,284332.00,38.313515,-117.055374
New Hampshire,1388992.00,8952.65,155.15,23187.00,43.452492,-71.563896
New Jersey,9267130.00,7354.22,1260.11,19047.00,40.298904,-74.521011
New Mexico,2115877.00,121298.15,17.44,314161.00,34.840515,-106.248482
New York,19835913.00,47126.40,420.91,122057.00,42.165726,-74.948051
North Carolina,10551162.00,48617.91,217.02,125920.00,35.630066,-79.806419
North Dakota,774948.00,69000.80,11.23,178711.00,47.528912,-99.784012
Ohio,11780017.00,40860.69,288.30,105829.00,40.388783,-82.764915
Oklahoma,3986639.00,68594.92,58.12,177660.00,35.565342,-96.928917
Oregon,4246155.00,95988.01,44.24,248608.00,44.572021,-122.070938
Pennsylvania,12964056.00,44742.70,289.75,115883.00,40.590752,-77.209755
Puerto Rico,3263584.00,3423.78,953.21,8868.00,18.46633,-66.10572
Rhode Island,1095610.00,1033.81,1059.78,2678.00,41.680893,-71.51178
South Carolina,5190705.00,30060.70,172.67,77857.00,33.856892,-80.945007
South Dakota,895376.00,75811.00,11.81,196350.00,44.299782,-99.438828
Tennessee,6975218.00,41234.90,169.16,106798.00,35.747845,-86.692345
Texas,29527941.00,261231.71,113.03,676587.00,31.054487,-97.563461
Utah,3337975.00,82169.62,40.62,212818.00,40.150032,-111.862434
Vermont,645570.00,9216.66,70.04,23871.00,44.045876,-72.710686
Virginia,8642274.00,39490.09,218.85,102279.00,37.769337,-78.169968
Washington,7738692.00,66455.52,116.45,172119.00,47.400902,-121.490494
West Virginia,1782959.00,24038.21,74.17,62259.00,38.491226,-80.954453
Wisconsin,5895908.00,54157.80,108.87,140268.00,44.268543,-89.616508
Wyoming,578803.00,97093.14,5.96,251470.00,42.755966,-107.30249
